"id","code","name"
gtin_10151507,"10151507","Semillas o plántulas de pepino cohombro"
gtin_10151508,"10151508","Semillas o plántulas de berenjena"
gtin_10151509,"10151509","Semillas o plántulas de endivias"
gtin_10151510,"10151510","Semillas o plántulas de ajo"
gtin_10151511,"10151511","Semillas o plántulas de puerro"
gtin_10151512,"10151512","Semillas o plántulas de lechuga"
gtin_10151513,"10151513","Semillas o plántulas de maíz"
gtin_10151514,"10151514","Semillas o plántulas de melón"
gtin_10151515,"10151515","Semillas o plántulas cebolla"
gtin_10151516,"10151516","Semillas o plántulas de soya"
gtin_10151517,"10151517","Semillas o plántulas de espinaca"
gtin_10151518,"10151518","Semillas o plántulas de tomate"
gtin_10151519,"10151519","Semillas o plántulas de nabo"
gtin_10151520,"10151520","Semillas o plántulas de acelga"
gtin_10151521,"10151521","Semillas o plántulas de pimiento morrón"
gtin_10151522,"10151522","Semillas o plántulas de remolacha"
gtin_10151523,"10151523","Semillas o plántulas de coliflor"
gtin_10151524,"10151524","Semillas o plántulas de perejil"
gtin_10151525,"10151525","Semillas o plántulas de brócoli"
gtin_10151526,"10151526","Semillas o plántulas de repollo"
gtin_10151527,"10151527","Semillas o plántulas de papa"
gtin_10151528,"10151528","Semillas o plántulas de batata"
gtin_10151529,"10151529","Semillas o plántulas de calabaza"
gtin_10151530,"10151530","Semillas o plántulas de rábano"
gtin_10151531,"10151531","Semillas o plántulas de repollitos de bruselas"
gtin_10151532,"10151532","Semillas o plántulas de ahuyama"
gtin_10151533,"10151533","Semillas o plántulas de okra"
gtin_10151534,"10151534","Semillas o plántulas de melón cantalupo"
gtin_10151535,"10151535","Semillas o plántulas de maní"
gtin_10151536,"10151536","Semillas o plántulas de caigua"
gtin_10151537,"10151537","Semillas o plántulas de espárrago"
gtin_10151538,"10151538","Semillas o plántulas de garbanzo"
gtin_10151539,"10151539","Semillas o plántulas de haba"
gtin_10151600,"10151600","Semillas de cereales"
gtin_10151601,"10151601","Semillas de trigo"
gtin_10151602,"10151602","Semillas de canola"
gtin_10151603,"10151603","Semillas de cebada"
gtin_10151604,"10151604","Semillas de mijo"
gtin_10151605,"10151605","Semillas de avena"
gtin_10151606,"10151606","Semillas de ajonjolí"
gtin_10151607,"10151607","Semillas de linaza"
gtin_10151608,"10151608","Semillas de aceite de ricino"
gtin_10151609,"10151609","Semillas de maíz"
gtin_10151610,"10151610","Semillas de centeno"
gtin_10151611,"10151611","Semillas de sorgo"
gtin_10151612,"10151612","Semillas o plántulas de kiwicha"
gtin_10151613,"10151613","Semillas o plántulas de quínoa"
gtin_10151700,"10151700","Semillas y plántulas de hierba y forraje"
gtin_10151701,"10151701","Semillas o plántulas de arroz"
gtin_10151702,"10151702","Semillas o plántulas de trébol"
gtin_10151703,"10151703","Semillas o plántulas de alfalfa"
gtin_10151704,"10151704","Semillas o plántulas de pasto"
gtin_10151705,"10151705","Semillas o plántulas de veza (gachas / guija)"
gtin_10151706,"10151706","Semillas o plántulas de guar"
gtin_10151800,"10151800","Semillas y plántulas de especias"
gtin_10151801,"10151801","Semillas o plántulas de pimienta"
gtin_10151802,"10151802","Semillas o plántulas de vainilla"
gtin_10151803,"10151803","Semillas o plántulas de canela"
gtin_10151804,"10151804","Semillas o plántulas de clavo de olor"
gtin_10151805,"10151805","Semillas o plántulas de cilantro"
gtin_10151806,"10151806","Semillas o plántulas de jengibre"
gtin_10151807,"10151807","Semillas o plántulas de azafrán"
gtin_10151808,"10151808","Semillas o plántulas de tomillo"
gtin_10151809,"10151809","Semillas o plántulas de curry"
gtin_10151810,"10151810","Semillas o plántulas de mostaza"
gtin_10151811,"10151811","Semillas o plántulas de ginseng"
gtin_10151812,"10151812","Semillas o plántulas de champiñones"
gtin_10151813,"10151813","Semillas o plántulas de sacha inchi"
gtin_10151814,"10151814","Semillas o plántulas de achiote"
gtin_10151815,"10151815","Semillas o plántulas de kudzu"
gtin_10151816,"10151816","Semillas o plántulas de albahaca"
gtin_10151817,"10151817","Semillas o plántulas de anís"
gtin_10151900,"10151900","Semillas, bulbos, plántulas y esquejes de flores"
gtin_10151901,"10151901","Semillas, bulbos, plántulas o esquejes de tulipán"
gtin_10151902,"10151902","Semillas, plántulas o esquejes de rosa"
gtin_10151903,"10151903","Semillas, bulbos, plántulas o esquejes de narciso"
gtin_10151904,"10151904","Semillas de girasol"
gtin_10151905,"10151905","Bulbos o tallos de jacinto"
gtin_10151906,"10151906","Bulbos de lirio"
gtin_10151907,"10151907","Semillas o plántulas de veza"
gtin_10152000,"10152000","Semillas y esquejes de árboles y arbustos"
gtin_10152001,"10152001","Semillas o esquejes de árboles frutales"
gtin_10152002,"10152002","Semillas o esquejes de coníferas"
gtin_10152003,"10152003","Semillas o esquejes de árboles de frutos secos"
gtin_10152004,"10152004","Plántulas de latifoliados"
gtin_10152005,"10152005","Plántulas de coníferas"
gtin_10152006,"10152006","Semillas o yemas de pino"
gtin_10152007,"10152007","Semillas o yemas de algarrobo"
gtin_10152100,"10152100","Residuos que no sean de piensos"
gtin_10152101,"10152101","Extracción de los residuos de semilla de babool"
gtin_10152102,"10152102","Residuos de semilla de colza"
gtin_10152103,"10152103","Residuo de semillas de linaza"
gtin_10152104,"10152104","Torta de neem"
gtin_10152200,"10152200","Semillas de cultivos fibrosos y semilleros"
gtin_10152201,"10152201","Semillas o plántulas de algodón"
gtin_10152202,"10152202","Semillas o plántulas de lino"
gtin_10160000,"10160000","Productos de floricultura y silvicultura"
gtin_10161500,"10161500","Árboles y arbustos"
gtin_10161501,"10161501","Aceitunos"
gtin_10161502,"10161502","Cafetos"
gtin_10161503,"10161503","Cacaoteros"
gtin_10161504,"10161504","Manzanos"
gtin_10161505,"10161505","Peros"
gtin_10161506,"10161506","Naranjos"
gtin_10161507,"10161507","Rododendros"
gtin_10161508,"10161508","Plantas de te"
gtin_10161509,"10161509","Coníferas"
gtin_10161510,"10161510","Abetos rojos (píceas)"
gtin_10161511,"10161511","Pinos"
gtin_10161512,"10161512","Abetos"
gtin_10161513,"10161513","Palmeras"
gtin_10161514,"10161514","Casuarina"
gtin_10161515,"10161515","Ciprés"
gtin_10161516,"10161516","Eucalipto"
gtin_10161517,"10161517","Árbol de quinua"
gtin_10161518,"10161518","Magnolio"
gtin_10161519,"10161519","Mioporo"
gtin_10161520,"10161520","Acalifa"
gtin_10161521,"10161521","Tecomaria capensis o madreselva del cabo"
gtin_10161522,"10161522","Arbusto croton bolaina"
gtin_10161523,"10161523","Abutillón"
gtin_10161524,"10161524","Ficus"
gtin_10161525,"10161525","Lúcumo"
gtin_10161526,"10161526","Aguacatal"
gtin_10161527,"10161527","Guanábano"
gtin_10161528,"10161528","Carambolo"
gtin_10161529,"10161529","Ciruelo"
gtin_10161530,"10161530","Árbol de quince"
gtin_10161600,"10161600","Plantas florales"
gtin_10161602,"10161602","Poinsettias"
gtin_10161604,"10161604","Azaleas"
gtin_10161605,"10161605","Cactos"
gtin_10161606,"10161606","Ageratum púrpura"
gtin_10161800,"10161800","Plantas sin flor"
gtin_10161801,"10161801","Helechos"
gtin_10161802,"10161802","Hiedras"
gtin_10161803,"10161803","Filodendros"
gtin_10161804,"10161804","Líquenes"
gtin_10161805,"10161805","Vides"
gtin_10161900,"10161900","Productos florales secos"
gtin_10161901,"10161901","Vainas secas"
